lat,lon,name,description,photo_url,deep_description_url
38.135671,14.961603,Chiesa di Sant'Antonio Abate,"Chiesa a tre navate del XVII sec. in origine (XIV
sec.) dedicata a San Nicasio,
conserva al suo interno la vara di
Sant'Antonio risalente al 1577.",{{https://openpatti.github.io/images/Santo_Antonio_Abate.jpg|200}} - Interno della chiesa di Sant'Antonio Abate,
38.135698,14.96155,Sagrato della Chiesa di Sant'Antonio Abate,"fucilazione dei rivoltosi alcaresi del 1860 Sul sagrato antistante la chiesa, il 20 Agosto 1860 vennero fucilati 12 rivoltosi alcaresi (lapide a ricordo).",,
38.136679,14.964318,Villa Comunale Umberto I°,"Realizzata nel 1875 nell'area nota
come ***""piano di Santa Febronia""***,
dove anticamente si svolgeva la fiera,
rappresentò per molti anni il luogo di
incontro preferito dai pattesi",{{https://openpatti.github.io/images/Villa_Comunale_Umberto_I.jpg|200}},
38.137164,14.965128,Palazzo Erbicelli,Palazzo Erbicelli (XVII-XVIII sec.),{{https://openpatti.github.io/images/Palazzo_Erbicelli.jpg|200}},
38.137595,14.965804,Fontana del Calice,"La fontana, di stile neoclassico in
marmo bianco di Carrara, che
sorge al centro della piazza
antistante la chiesa, venne
realizzata intorno al 1854 e
inizialmente fu collocata nell'area
dell'attuale villa comunale
Umberto I°, per essere infine
(1914) ricollocata ove si trova
Adesso.",{{https://openpatti.github.io/images/Fontana_Del_Calice.jpg|200}},
38.137624,14.963706,Museo Diocesano,,"{{https://openpatti.github.io/images/Quadro_Museo_Diocesano_Patti.jpg|200}} San Giuseppe (XVIII sec.), anonimo",[[https://it.cathopedia.org/wiki/Museo_Diocesano_di_Patti|**Il Museo Diocesano di Patti su Cathopedia**]]
38.137721,14.965975,Chiesa di San Nicola,"Sorta probabilmente nel XV sec., fu
ricostruita, nel XVIII sec., a tre
navate e abside quadra.
All'interno custodisce un pregevole
tabernacolo in marmo del XVI sec.
di scuola gaginiana.",{{https://openpatti.github.io/NPC2017/images/SanNicola/SanNicola.jpg|200}},
38.137751,14.965745,Piazza Niosi (San Nicola),"San Nicola rappresenta di fatto il primo
insediamento fuori dalle mura di cinta di
Patti (XVI secolo).",{{https://openpatti.github.io/NPC2017/images/SanNicola/SanNicola.jpg|200}} - La Fontana del Calice e la Chiesa di San Nicola ,
38.137758,14.965251,Piazzetta Greco,,{{https://openpatti.github.io/images/Piazzetta_Greco.jpg|200}},
38.138004,14.965069,Chiesa di Santa Maria dei Greci o della Candelora,"Nella chiesa, fatta costruire alla fine del XV° secolo, vi si conservano un quadro della Madonna dell'Idria (1481), una statua marmorea della Madonna della Consolazione (XVI sec.) di stile gaginiano e molti arredi sacri settecenteschi. Il quartiere intorno alla chiesa era abitato da ""greci"" dediti alla lavorazione della creta (pignatari).",{{https://openpatti.github.io/images/Candelora.jpg|200}},
